Marka,Seri,Model,Yil,Yil,Vites_Tipi,Vites_Tipi,Yakit_Tipi,Yakit_Tipi,Kasa_Tipi,Kasa_Tipi,Renk,Kimden,Garanti_Durumu
,,,2017.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2012.0,,Yarı Otomatik,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,Garantisi Yok
,,,2017.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Siyah,Sahibinden,Garantisi Yok
,,,2020.0,,Düz,,Benzin,,"Hatchback/5, 5 Koltuk",,Gri,Sahibinden,Garantisi Yok
,,,2015.0,,Düz,,Dizel,,Sedan,,Gri (Gümüş),Sahibinden,
,,,2013.0,,Düz,,LPG & Benzin,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2016.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2010.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Beyaz,Sahibinden,
,,,2015.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2006.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2023.0,,Yarı Otomatik,,Benzin,,"Hatchback/5, 5 Koltuk",,Füme,Galeriden,Garantisi Var
,,,2016.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Gri (Gümüş),Sahibinden,Garantisi Yok
,,,2015.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2000.0,,Düz,,LPG & Benzin,,Hatchback/5,,Kırmızı,Sahibinden,
,,,2013.0,,Yarı Otomatik,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2012.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri (Gümüş),Sahibinden,Garantisi Yok
,,,2019.0,,Yarı Otomatik,,Benzin,,Station wagon,,Beyaz,Galeriden,Garantisi Yok
,,,2014.0,,Düz,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2011.0,,Düz,,LPG & Benzin,,Sedan,,Siyah,Sahibinden,
,,,2020.0,,Düz,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Galeriden,Garantisi Var
,,,2011.0,,Düz,,Benzin,,"Station wagon, 5 Koltuk",,Gri,Galeriden,Garantisi Yok
,,,2018.0,,Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2015.0,,Yarı Otomatik,,Dizel,,"Sedan, 5 Koltuk",,Siyah,Galeriden,Garantisi Yok
,,,2012.0,,Düz,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2015.0,,Düz,,Benzin,,Sedan,,Gri,Galeriden,Garantisi Var
,,,2002.0,,Düz,,Benzin,,Sedan,,Mavi,Galeriden,Garantisi Yok
,,,2017.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Kırmızı,Galeriden,Garantisi Yok
,,,2008.0,,Yarı Otomatik,,Dizel,,Sedan,,Gri,Sahibinden,
,,,2016.0,,Otomatik,,Dizel,,Hatchback/5,,Füme,Galeriden,Garantisi Yok
,,,2013.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri,Galeriden,Garantisi Var
,,,2005.0,,Düz,,Dizel,,,,Beyaz,Galeriden,
,,,2004.0,,Düz,,Benzin,,Hatchback/3,,Mavi,Sahibinden,
,,,2004.0,,Düz,,Dizel,,Hatchback/5,,Siyah,Sahibinden,Garantisi Yok
,,,2021.0,,Düz,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2009.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Gri (metalik),Galeriden,Garantisi Var
,,,2017.0,,Düz,,Benzin,,Sedan,,Beyaz,Sahibinden,Garantisi Yok
,,,2004.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Galeriden,Garantisi Var
,,,2011.0,,Yarı Otomatik,,Dizel,,Sedan,,Siyah,Sahibinden,
,,,2015.0,,Yarı Otomatik,,Benzin,,Coupe,,Beyaz,Sahibinden,
,,,2017.0,,Düz,,LPG & Benzin,,Sedan,,Diğer,Sahibinden,Garantisi Yok
,,,2012.0,,Düz,,LPG & Benzin,,"Sedan, 5 Koltuk",,Füme,Sahibinden,Garantisi Yok
,,,2012.0,,Düz,,Dizel,,"MPV, 5 Koltuk",,Beyaz,Sahibinden,Garantisi Yok
,,,2003.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Gri,Galeriden,Garantisi Yok
,,,2017.0,,Yarı Otomatik,,Benzin,,Sedan,,Beyaz,Sahibinden,Garantisi Yok
,,,2013.0,,Otomatik,,Benzin,,"Sedan, 5 Koltuk",,Gri,Sahibinden,
,,,2008.0,,Düz,,Dizel,,Hatchback/5,,Siyah,Sahibinden,
,,,2023.0,,Otomatik,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Var
,,,2013.0,,Düz,,Dizel,,Sedan,,Kahverengi,Galeriden,Garantisi Yok
,,,2021.0,,Yarı Otomatik,,Benzin,,Sedan,,Füme,Galeriden,Garantisi Yok
,,,2014.0,,Otomatik,,LPG & Benzin,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2010.0,,Düz,,Benzin,,Sedan,,Bordo,Sahibinden,
,,,2008.0,,Otomatik,,Benzin,,Sedan,,Gri (metalik),Sahibinden,
,,,2010.0,,Düz,,Benzin,,Hatchback/5,,Lacivert,Sahibinden,
,,,2011.0,,Yarı Otomatik,,LPG & Benzin,,"Sedan, 5 Koltuk",,Siyah,Galeriden,Garantisi Yok
,,,2023.0,,Otomatik,,Benzin,,Hatchback/5,,Gri,Galeriden,Garantisi Var
,,,2013.0,,Düz,,Dizel,,MPV,,Lacivert,Sahibinden,
,,,2011.0,,Düz,,Dizel,,Hatchback/5,,Gri,Sahibinden,
,,,2017.0,,Düz,,Benzin,,Sedan,,Siyah,Sahibinden,-
,,,2004.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2001.0,,Düz,,LPG & Benzin,,Sedan,,Lacivert,Sahibinden,
,,,2022.0,,Otomatik,,Benzin,,SUV,,Füme,Galeriden,Garantisi Var
,,,2012.0,,Düz,,Dizel,,Hatchback/5,,Gri (Gümüş),Sahibinden,
,,,2008.0,,Düz,,LPG & Benzin,,Sedan,,Gri (Gümüş),Sahibinden,
,,,2013.0,,Düz,,Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2000.0,,Düz,,LPG & Benzin,,Sedan,,Gri,Galeriden,Garantisi Var
,,,2000.0,,Düz,,LPG & Benzin,,Hatchback/5,,Bordo,Galeriden,Garantisi Yok
,,,2016.0,,Düz,,Benzin,,Sedan,,Beyaz,Sahibinden,
,,,2005.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Gri,Galeriden,Garantisi Yok
,,,2023.0,,Otomatik,,Benzin,,"Sedan, 5 Koltuk",,Füme,Sahibinden,Garantisi Var
,,,2001.0,,Düz,,Benzin,,"Hatchback/5, 4 Koltuk",,Gri,Sahibinden,Garantisi Yok
,,,2015.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2019.0,,Yarı Otomatik,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2000.0,,Düz,,LPG & Benzin,,Hatchback/5,,Beyaz,Sahibinden,
,,,2015.0,,Düz,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2019.0,,Otomatik,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Var
,,,2023.0,,Otomatik,,Benzin,,SUV,,Beyaz,Galeriden,Garantisi Var
,,,2024.0,,Otomatik,,Benzin,,Hatchback/5,,Turuncu,Sahibinden,
,,,2008.0,,Yarı Otomatik,,LPG & Benzin,,Hatchback/3,,Gri,Sahibinden,
